company,job_title,location,job_link,date_scraped
Amazon,Software Development Engineer, Amazon,,https://www.amazon.jobs/en/jobs/2893007/software-development-engineer-amazon,2025-02-24 15:21:51.277228
Amazon,Software Development Engineer, Amazon,,https://www.amazon.jobs/en/jobs/2893013/software-development-engineer-amazon,2025-02-24 15:21:51.277275
Amazon,Software Dev Engineer II, Amazon,,https://www.amazon.jobs/en/jobs/2822330/software-dev-engineer-ii-amazon,2025-02-24 15:21:51.277292
Amazon,SDE-II, Business Data Technologies,,https://www.amazon.jobs/en/jobs/2827924/sde-ii-business-data-technologies,2025-02-24 15:21:51.277305
Amazon,Software Development Engineer, Geospatial,,https://www.amazon.jobs/en/jobs/2892736/software-development-engineer-geospatial,2025-02-24 15:21:51.277316
Amazon,Application Engineer, RBS,,https://www.amazon.jobs/en/jobs/2732251/application-engineer-rbs,2025-02-24 15:21:51.277329
Amazon,HR Generalist, INOPS,,https://www.amazon.jobs/en/jobs/2847322/hr-generalist-inops,2025-02-24 15:21:51.277339
Amazon,Recruitment Coordinator - 12 Month Contract,,https://www.amazon.jobs/en/jobs/2878885/recruitment-coordinator-12-month-contract,2025-02-24 15:21:51.277350
Amazon,Data Analyst, Alexa Audio,,https://www.amazon.jobs/en/jobs/2874417/data-analyst-alexa-audio,2025-02-24 15:21:51.277362
Amazon,WHS Manager, AMZL WHS West,,https://www.amazon.jobs/en/jobs/2909084/whs-manager-amzl-whs-west,2025-02-24 15:21:51.277373
Amazon,QAE (Level 4), ICCS - International Cobranded Credit Cards,,https://www.amazon.jobs/en/jobs/2904425/qae-level-4-iccs-international-cobranded-credit-cards,2025-02-24 15:21:51.277382
Amazon,Technical Program Manager III, International Cobranded Credit Cards,,https://www.amazon.jobs/en/jobs/2905815/technical-program-manager-iii-international-cobranded-credit-cards,2025-02-24 15:21:51.277396
Amazon,Rack Decom Datatech,,https://www.amazon.jobs/en/jobs/2899157/rack-decom-datatech,2025-02-24 15:21:51.277409
Amazon,Software Development Engineer, FinTech,,https://www.amazon.jobs/en/jobs/2883674/software-development-engineer-fintech,2025-02-24 15:21:51.277419
Amazon,Receivables Product Manager, Global Accounts Receivable,,https://www.amazon.jobs/en/jobs/2848795/receivables-product-manager-global-accounts-receivable,2025-02-24 15:21:51.277431
Amazon,Business Analyst, Customer Partner Trust,,https://www.amazon.jobs/en/jobs/2908007/business-analyst-customer-partner-trust,2025-02-24 15:21:51.277444
Amazon,Team Manager, Recr Svc,,https://www.amazon.jobs/en/jobs/2906877/team-manager-recr-svc,2025-02-24 15:21:51.277455
Amazon,Software Support Engineer, Devices Support Engineering team,,https://www.amazon.jobs/en/jobs/2903951/software-support-engineer-devices-support-engineering-team,2025-02-24 15:21:51.277466
Amazon,Software Dev Engineer I, Amazon University Talent Acquisition,,https://www.amazon.jobs/en/jobs/2909072/software-dev-engineer-i-amazon-university-talent-acquisition,2025-02-24 15:21:51.277479
Amazon,System Development Engineer, Alexa Daily Essentials,,https://www.amazon.jobs/en/jobs/2889582/system-development-engineer-alexa-daily-essentials,2025-02-24 15:21:51.277490
